Time,Time_Short,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6
0,0,12.59538298,12.41667694,10.96646133,12.42724566,5.370492571,5.58218768
0.067,0.067,13.14726764,13.14880001,11.12789393,12.41270603,5.807317688,5.871804183
0.201,0.201,13.41607253,13.28685008,10.75535677,12.33122609,5.366124575,6.190214846
0.334,0.334,14.3937605,12.8848213,11.66781497,12.43966237,5.004690673,5.863842008
0.401,0.401,13.78031661,13.2170385,11.2924829,12.62381569,5.978743737,6.580503999
0.534,0.534,14.04385241,13.79776823,11.37335193,12.98928668,4.928143823,5.899931434
0.667,0.667,14.44214446,13.71192539,11.66097789,13.19381379,5.253992298,6.081137112
0.734,0.734,14.9703666,14.2420108,11.30042471,12.81973917,5.507972465,5.945439036
0.867,0.867,14.9921404,14.31836928,11.22092004,13.43035761,5.007012125,5.761448632
1,1,15.46571167,14.79522419,11.55093797,13.9162285,5.440543426,6.261782791
1.134,1.134,15.13533738,14.49513569,11.04452527,12.86431005,5.261313019,5.622110558
1.201,1.201,15.54296106,14.60073125,11.0855376,13.31135261,5.546459708,6.333350735
1.334,1.334,17.06901588,14.43049138,11.7641349,13.97266119,5.440543426,5.443358697
1.401,1.401,16.71150707,15.13478756,11.2248604,13.06721825,5.875138726,6.090092015
1.534,1.534,16.77326993,14.58468471,11.31368652,13.24031921,5.551616795,5.948132124
1.601,1.601,17.82259712,15.05302762,11.82178431,13.54167025,5.466349224,6.015708799
1.734,1.734,18.51891076,16.1872762,11.90290788,14.63478431,5.869009277,6.014349528
1.867,1.867,17.48532465,15.84467865,11.6637117,14.50805132,5.329556603,5.657604349
2,2,18.682899,16.03282323,11.76275526,13.81938422,6.480829167,5.583455316
2.134,2.134,19.07113651,16.26553869,12.01988161,13.67740396,6.125117442,6.266033697
2.201,2.201,19.53815579,16.72933033,11.57451395,14.09823854,5.364261303,6.056670222
2.334,2.334,18.920013,16.92007636,11.50572564,13.6615407,5.904900158,5.871804183
2.467,2.467,20.38611732,16.79949827,11.85748173,14.72750497,6.232051905,5.658245803
2.534,2.534,20.24506361,17.47391084,12.29555412,14.75266422,6.084288383,5.658887257
2.667,2.667,20.11186007,17.10055404,12.52121867,15.28339108,6.338192186,5.768626809
2.734,2.734,20.80500717,17.45907594,12.4069024,14.59912761,6.260672973,5.799533694
2.867,2.867,21.64220653,17.45061486,12.55396338,14.77778784,6.301603851,6.05941422
3,3,22.09130072,17.4126978,12.42724566,15.17379917,6.54643057,5.583455316
3.134,3.134,22.56381308,17.89125306,12.41270603,14.83995797,6.119446174,5.625938919
3.201,3.201,23.31974123,18.26702805,12.33122609,15.01148584,6.367408891,5.446443785
3.334,3.334,23.24349983,18.43286937,12.43966237,15.85404082,6.291411859,5.826439128
3.467,3.467,24.08873263,18.43286937,12.62381569,15.20915041,6.005593171,5.903932886
3.534,3.534,23.99378725,18.75157022,12.98928668,15.87832444,6.18685994,6.117262175
3.667,3.667,23.9580491,18.5047275,13.19381379,15.41942007,6.003510991,6.2972104
3.801,3.801,24.19048964,19.36806865,12.81973917,15.620465,6.259950065,5.651846535
3.867,3.867,24.34504443,19.29639889,13.43035761,16.20311401,6.368147072,6.121411263
4,4,24.80013572,19.05142962,13.9162285,15.78890778,6.002818628,6.369496162
4.067,4.067,25.69394084,19.5928372,12.86431005,15.98597163,6.368885253,5.97212556
4.267,4.267,25.5221788,19.72872364,13.31135261,15.68377041,6.329400193,6.023217884
4.334,4.334,25.54378969,20.06215757,13.97266119,15.8339012,6.330133283,6.303630031
4.467,4.467,25.89897196,20.32424755,13.06721825,16.4297611,6.40396159,6.61814106
4.534,4.534,26.65963973,19.75971198,13.24031921,15.66841115,6.076550207,5.976177921
4.667,4.667,27.21041458,20.09063609,13.54167025,16.3220681,6.179009764,5.836987483
4.801,4.801,27.36425664,20.56668663,14.63478431,16.22750453,6.619541059,6.122103626
4.867,4.867,27.89746787,20.71676142,14.50805132,16.3592317,7.450325871,6.125570533
5.067,5.067,28.64818801,21.12417638,13.81938422,16.61179151,6.621837058,5.796906787
5.134,5.134,27.91772967,21.21054359,13.67740396,16.95240361,6.801602009,6.234816266
5.267,5.267,28.73936103,21.44459286,14.09823854,16.42596329,6.619541059,5.694381048
5.334,5.334,28.70220761,21.29694134,13.6615407,16.3925975,6.586027631,6.234816266
5.467,5.467,28.52636774,21.40614125,14.72750497,17.10103768,6.545677117,6.83512562
5.601,5.601,29.20802976,21.72589082,14.75266422,16.60220024,6.98130587,6.083891292
5.801,5.801,29.08525749,22.44802554,15.28339108,17.19867105,6.143225792,5.978209192
5.934,5.934,29.40111761,21.54828951,14.59912761,17.34530949,7.662051525,5.942740856
6,6,29.9976597,22.65590247,14.77778784,17.33214441,6.653029033,5.871137275
6.134,6.134,29.54140259,22.42728519,15.17379917,17.740043,7.913715331,5.081766977
6.267,6.267,30.90046554,22.53299274,14.83995797,17.89087125,7.993367633,6.975130602
6.334,6.334,30.16115411,23.92970294,15.01148584,17.27497354,7.268208921,6.04434005
6.467,6.467,31.04762834,24.79171027,15.85404082,17.52309408,7.303952166,5.833021668
6.601,6.601,31.65717259,24.43067346,15.20915041,17.19867105,7.404324452,6.511909143
6.734,6.734,32.67811799,24.4127942,15.87832444,18.18445356,7.041470187,6.002808446
6.801,6.801,31.81631429,24.54542755,15.41942007,18.66732592,7.753962727,6.757433316
6.934,6.934,31.99729597,25.19362196,15.620465,18.44412536,7.304797256,6.439613199
7.067,7.067,33.54288968,24.8797422,16.20311401,17.53601479,7.578402863,6.262490427
7.134,7.134,32.29199828,24.56285372,15.78890778,18.08287982,7.72810602,6.684404282
7.267,7.267,32.97900575,25.23179866,15.98597163,18.52490276,8.127752256,6.589438537
7.334,7.334,33.21015321,25.29317461,15.68377041,18.39213195,7.404324452,6.967260063
7.467,7.467,34.22173643,25.35668365,15.8339012,17.75676153,7.15352101,6.54732657
7.534,7.534,33.46377192,25.78818368,16.4297611,18.25614369,7.689776595,6.510437871
7.734,7.734,34.12258596,25.19247651,15.66841115,18.21690299,8.006919622,6.758960588
7.801,7.801,34.33008107,26.27731276,16.3220681,17.69724376,8.013364708,7.12225267
7.934,7.934,35.1987524,26.71291606,16.22750453,18.50147441,7.947564759,6.724332251
8,8,34.91315771,26.33713598,16.3592317,18.6236765,8.51293014,6.611415975
8.134,8.134,35.42202932,26.2176168,16.61179151,18.96093878,8.332055371,6.858126329
8.201,8.201,35.33940902,26.59485797,16.95240361,19.1073634,8.049001044,6.472103355
8.401,8.401,35.1186521,27.08482195,16.42596329,19.13804119,7.688010051,6.287975498
8.467,8.467,35.10927974,26.58915615,16.3925975,19.26245782,8.11933699,7.147946469
8.667,8.667,35.75790687,27.82837919,17.10103768,18.91075264,8.340684455,7.297512171
8.734,8.734,35.75790687,27.01494419,16.60220024,19.84135483,8.772031757,7.359096851
8.867,8.867,36.42767654,27.47850674,17.19867105,19.13571465,8.976278872,6.860447782
9,9,36.67253889,27.45917148,17.34530949,19.84218974,9.302397165,7.900820068
9.067,9.067,36.96837139,28.30676646,17.33214441,19.84672573,8.796503738,7.897251343
9.201,9.201,36.64255346,27.92861912,17.740043,20.22991816,8.876777131,7.461648044
