Time_DR1,Front_DR1,Back_DR1,Time__F1,Back_F1,Front_F1,Time_F2,Front_F2,Back_F2,Time_B1,Back_B1,Front_B1,Time_B2,Back_B2,Front_B2,Time_C1,Back_C1,Front_C1,Time_C2,Back_C2,Front_C2
0,26.85369492,28.70579529,0,26.21576118,26.31306648,0,26.71531487,27.03334045,0,28.18744469,30.19348907,0,27.03334045,27.96849823,0,29.83006477,30.31438255,0,31.60959244,31.70251846
0,26.88134956,28.61048317,0,26.07660866,26.38252068,0.067,26.64606094,27.18512917,0.2,28.18744469,30.01864624,0.133,26.86752319,28.20111465,0.067,29.9243927,30.1262722,0.067,31.63615036,31.88815689
0.067,26.72916031,28.48782349,0.066,26.43805313,26.42417336,0.201,26.9090004,27.18512917,0.266,28.17377281,30.07247162,0.266,27.01953125,28.28310394,0.2,29.87050056,29.97826195,0.2,31.71578789,31.66270256
0.2,26.96427917,28.35138321,0.2,26.67376709,26.45193291,0.334,26.70146751,27.157547,0.4,28.20111465,30.08592415,0.333,27.10235977,27.92740059,0.334,29.87050056,30.13971901,0.333,31.68924904,31.74232292
0.333,26.89517593,28.51509285,0.266,26.68761826,26.53517151,0.401,26.82603073,27.43308258,0.533,28.29676247,30.03210449,0.533,26.88134956,28.47418594,0.4,29.80310059,30.18004799,0.4,31.83514786,31.91465378
0.4,26.78452492,28.82822609,0.4,26.9090004,26.49355888,0.534,26.88134956,27.4743557,0.6,28.378685,30.18004799,0.666,27.01953125,28.31042099,0.533,29.70867538,30.20692825,0.533,31.58302879,31.76885223
0.533,26.74300385,28.55598259,0.466,26.86752319,26.39640617,0.667,26.65991592,27.4605999,0.733,28.51509285,30.09937477,0.8,27.04714775,28.3650341,0.667,29.78961563,30.24723434,0.6,31.59631157,31.75558853
0.666,26.9780941,28.63772392,0.666,26.92282104,26.27137375,0.734,26.75684547,27.63930511,0.866,28.21478271,30.05901718,0.933,27.0885601,28.3240757,0.734,29.88397598,30.32780647,0.733,31.38361168,31.52988243
0.733,27.01953125,28.88259888,0.8,27.1299572,26.29917145,0.867,26.71531487,27.76286125,0.933,28.31042099,30.03210449,1.066,27.03334045,28.41962242,0.867,29.87050056,30.24723434,0.867,31.6228714,31.83514786
0.867,26.99190712,28.85541725,0.866,27.22649193,26.59062958,1,26.92282104,27.76286125,1.066,28.54235458,30.04556274,1.133,27.06095314,28.50145912,0.934,30.04556274,30.44856262,1,31.76885223,31.6228714
0.933,27.1299572,28.85541725,1,27.35049057,26.50743103,1.134,27.01953125,27.73541641,1.2,28.4605484,30.04556274,1.266,27.17133904,28.378685,1.134,29.87050056,30.23380089,1.133,31.52988243,31.66270256
1.067,27.0885601,28.85541725,1.066,27.55685997,26.41028976,1.201,27.11615944,27.68050575,1.266,28.54235458,29.97826195,1.333,26.92282104,28.63772392,1.2,29.9378624,30.38149071,1.2,31.55645943,31.71578789
1.133,26.92282104,28.82822609,1.2,27.43308258,26.42417336,1.334,26.9090004,27.95480156,1.4,28.63772392,30.27409744,1.466,27.22649193,28.43326569,1.334,30.00518608,30.43515205,1.333,31.79537392,31.88815689
1.267,27.17133904,28.78743172,1.333,27.55685997,26.47968483,1.401,26.96427917,28.07802391,1.533,28.58323669,30.15316391,1.6,27.07475662,28.3240757,1.4,30.08592415,30.31438255,1.467,31.63615036,31.6228714
1.333,27.24027634,28.89618874,1.4,27.95480156,26.70146751,1.534,26.9780941,27.92740059,1.666,28.84182167,30.19348907,1.733,27.22649193,28.41962242,1.533,30.19348907,30.34123039,1.533,31.71578789,31.68924904
1.533,27.03334045,29.05913734,1.533,27.76286125,26.63220596,1.601,27.03334045,28.02327347,1.733,28.6785717,29.97826195,1.8,27.04714775,28.41962242,1.667,30.09937477,30.3546524,1.667,31.55645943,31.66270256
1.666,26.9780941,28.96411133,1.6,28.11906815,26.41028976,1.734,26.92282104,28.26944351,1.866,28.70579529,30.07247162,2,27.30917168,28.48782349,1.8,29.83006477,30.34123039,1.8,31.66270256,31.84840202
1.733,27.07475662,29.00484657,1.733,28.3240757,26.43805313,1.867,27.03334045,28.03696442,1.933,28.86900902,30.07247162,2.133,27.14375114,28.43326569,1.867,29.96479607,30.36807251,1.867,31.66270256,31.6759758
1.867,26.89517593,29.00484657,1.8,28.55598259,26.46580887,2,27.01953125,28.378685,2.133,28.85541725,30.4083252,2.266,27.1989193,28.5696106,2,30.03210449,30.36807251,2,31.66270256,31.90140533
2,27.14375114,29.12696457,1.933,28.50145912,26.63220596,2.134,26.89517593,28.378685,2.2,29.24895668,30.22036362,2.4,27.21270561,28.63772392,2.067,30.01864624,30.3546524,2.133,31.66270256,31.68924904
2.067,27.157547,29.07270622,2,28.50145912,26.65991592,2.201,26.93664169,28.52872467,2.333,29.01842117,30.27409744,2.533,27.24027634,28.47418594,2.2,30.01864624,30.4083252,2.2,31.66270256,31.78211403
2.2,27.1299572,29.26250267,2.133,28.71940613,26.70146751,2.334,26.96427917,28.48782349,2.4,29.07270622,30.28752708,2.6,27.21270561,28.54235458,2.267,29.99172401,30.39490891,2.4,31.59631157,31.95438576
2.333,27.14375114,29.26250267,2.266,28.92336273,26.59062958,2.467,27.1299572,28.55598259,2.533,29.16764259,30.1666069,2.733,27.40555763,28.55598259,2.4,30.13971901,30.38149071,2.467,31.70251846,31.72905731
2.4,27.0885601,29.26250267,2.333,28.92336273,26.57676697,2.534,27.25405884,28.69218445,2.666,29.16764259,30.38149071,2.866,27.3917942,28.69218445,2.533,30.1262722,30.3546524,2.6,31.70251846,31.91465378
2.533,27.22649193,29.35728836,2.466,29.15408516,26.64606094,2.667,27.2953968,28.84182167,2.733,29.28959274,30.28752708,2.933,27.07475662,28.5696106,2.667,30.13971901,30.4887886,2.733,31.83514786,31.78211403
2.666,27.26783943,29.39788628,2.6,29.28959274,26.7706871,2.734,27.32294655,28.6785717,2.866,29.35728836,30.38149071,3.066,27.44684219,28.55598259,2.8,30.39490891,30.44856262,2.8,31.64942741,31.92789841
2.733,27.35049057,29.46551895,2.666,29.38435555,26.60449028,2.867,27.25405884,28.88259888,2.933,29.50607872,30.18004799,3.133,27.50186348,28.48782349,2.934,29.99172401,30.62277222,2.933,31.72905731,31.91465378
2.867,27.157547,29.62767792,2.8,29.60066795,26.71531487,3,27.2953968,29.22185898,3.133,29.54662704,30.20692825,3.266,27.41932106,28.7602253,3,30.1666069,30.4083252,3,31.78211403,32.02058029
3,27.40555763,29.61417389,2.866,29.66818428,26.61834908,3.134,27.28161812,28.9505291,3.2,29.43847084,30.47538185,3.333,27.4881115,28.58323669,3.134,30.28752708,30.46197319,3.133,31.74232292,31.86165428
3.133,27.43308258,29.76264191,3.066,29.9378624,26.74300385,3.201,27.25405884,29.23540878,3.333,29.68168259,30.50219345,3.533,27.37802696,28.66495705,3.267,30.04556274,30.44856262,3.2,31.74232292,32.04704666
3.2,27.33671951,29.77612877,3.2,30.08592415,26.56290436,3.334,27.3917942,29.20830727,3.466,29.95133018,30.44856262,3.6,27.35049057,28.66495705,3.4,30.27409744,30.39490891,3.4,31.66270256,32.19251251
3.333,27.4743557,30.01864624,3.266,30.3546524,26.70146751,3.467,27.36425972,29.42494392,3.533,29.77612877,30.43515205,3.733,27.59808922,28.80103111,3.467,30.11282539,30.46197319,3.467,31.91465378,32.20572662
3.467,27.57060432,30.19348907,3.4,30.1666069,26.86752319,3.534,27.3917942,29.42494392,3.666,30.00518608,30.31438255,3.866,27.36425972,28.85541725,3.6,30.24723434,30.51559639,3.6,31.79537392,31.92789841
